elevation,slope,twi,stream_proximity,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,flood_label,event_date
1,1.8543341159820557,10.877967529934244,1180.7744966151163,40,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
-9999,0.9274099469184875,11.571060100009174,1361.0854806743016,40,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
7,3.38470721244812,10.275920307746066,2908.6767610896727,90,233.93373927869834,542.1912722289562,364.9991273880005,566.2305375039577,110.95451415330172,220.67587669193745,166.17773270606995,1,2020-10-12
4,1.3398994207382202,15.297634701616802,90.5148104828324,40,214.18546305783093,531.9115550518036,303.08442068099976,357.8945987224579,63.2081484682858,193.01613461971283,236.44990035891533,1,2020-10-12
5,1.3404710292816162,12.300677926850401,1233.504282777146,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
9,9.195145606994629,12.426211271247743,22.386483410265644,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
5,2.14491868019104,13.594470240490683,29.135111259430328,40,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
3,-9999,-9999,485.82880989709133,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
2,2.1436920166015625,11.649819437689962,435.0445463940111,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
1,6.668201923370361,9.59481561482583,213.68994967857097,90,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
110,5.011649131774902,9.882225410546104,1779.443452072128,10,218.81273520784453,625.0633637905121,244.7974977493286,358.480039909482,110.99182415381074,189.96638504602015,166.51690559089184,0,2020-10-12
971,12.743612289428711,8.935953374319363,890.2656776607774,10,157.16006331867538,558.8932433128357,205.350550532341,428.9621701836586,152.9647793881595,122.96675469726324,85.33849783241749,0,2020-10-12
791,14.332891464233398,8.813856129932343,811.1857915085583,10,157.16006331867538,558.8932433128357,205.350550532341,428.9621701836586,152.9647793881595,122.96675469726324,85.33849783241749,0,2020-10-12
11,2.1452832221984863,10.731894549388725,568.7672542382844,60,229.21445401757956,358.28170692920685,404.03350710868835,432.8627983443439,49.692346847616136,172.26121950149536,262.5131178200245,0,2020-10-12
68,18.26226806640625,9.250918809381847,270.7096878104602,10,239.73255160823464,735.4032049179077,222.4729111790657,382.91257095336914,151.02136301994324,216.27971124649048,115.67339792940766,0,2020-10-12
174,17.78384017944336,8.586250252574605,1022.8130844407074,10,217.0370986671187,742.2109990119934,217.60689169168472,379.71167397499084,126.30127397179604,213.72199056856334,184.77147774398327,0,2020-10-12
710,15.325261116027832,8.74385123443804,881.945292900163,10,211.8926232298836,432.87227416038513,340.42266821861267,418.3103036880493,137.14459755737334,248.1123321056366,129.8925144225359,0,2020-10-12
441,17.471782684326172,8.604245748038275,2043.6588816222284,10,197.89811371080577,540.4665293693542,265.0386731624603,349.959739997983,118.47668773122132,171.272074341774,185.5902356505394,0,2020-10-12
9,2.9435877799987793,11.107622195275031,492.01858234431774,60,141.097161446698,352.8075276091695,580.4283275604248,295.5914882570505,29.40964498743415,110.24537768680602,371.1693587899208,0,2020-10-12
473,11.954194068908691,9.40816466538153,1067.6791739548007,10,152.1513287127018,805.6265377998352,160.87679310515523,525.3495863080025,191.10494162142277,119.4272374646971,45.66101235663518,0,2020-10-12
192,13.679831504821777,8.862530439342956,251.42752679511742,10,217.0370986671187,742.2109990119934,217.60689169168472,379.71167397499084,126.30127397179604,213.72199056856334,184.77147774398327,0,2020-10-12
