system:index,elevation,flood_label,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,slope,twi,.geo
1947,4,0,40,34.8899990580976,7.769999787211418,14.219999581575394,37.33999911136925,3.0399999152868986,5.36999979801476,0.12999999523162842,1.3208323,3.76978861083045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.0776609021633,9.624459301798574]}"
1948,2,0,80,36.85999910533428,6.399999916553497,22.279999282211065,29.519999351352453,0.2299999911338091,2.4399999491870403,-9999,2.935048,11.19452410301992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2277693861397,10.083947569625714]}"
1949,0,0,40,28.69999930821359,39.849998988211155,16.109999490901828,23.189999479800463,6.169999800622463,9.969999754801393,5.829999886453152,2.9350145,2.9706401966203737,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.22956144242607,10.04783529520411]}"
1950,1,0,60,40.529998898506165,2.639999957755208,19.51999941468239,34.3999994918704,0.6099999789148569,3.189999908208847,-9999,5.625801,2.3176435357757192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.22210999984975,9.734413092574805]}"
1951,3,0,40,15.079999633133411,19.199999507516623,11.919999789446592,53.489998726174235,13.599999826401472,13.569999627768993,26.259999550879,2.7802885,3.0248877974092183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.4160516954093,9.505881684294799]}"
1952,4,0,50,40.239998772740364,12.09999979659915,31.78999923542142,37.56999907642603,1.0899999514222145,2.3799999319016933,-9999,2.9351935,2.970579086013972,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39081361020737,10.23809847238062]}"
1953,1,0,40,44.91999853588641,4.68999981507659,20.06999959796667,37.59999870322645,0.4299999885261059,2.809999877586961,-9999,2.0792499,7.659586931342093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38084231055365,9.840324464572497]}"
1954,2,0,90,38.31999892741442,8.029999727383256,25.469999339431524,41.27999921143055,0.12999999523162842,6.999999824911356,0.07000000029802322,0.92740995,4.123500053280157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40428833946919,9.94219341779165]}"
1955,-1,0,10,42.519998863339424,28.619999321177602,28.349999263882637,35.059999104589224,2.0299999117851257,4.819999888539314,-9999,1.8543341,3.4303529125286274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44498202183979,10.425666703704778]}"
1956,2,0,40,26.679999195039272,32.91999942064285,8.089999716728926,12.679999724030495,4.299999954178929,12.449999712407589,1.6499999463558197,3.3574436,5.138487551657882,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.08753779600681,10.367455873293835]}"
1957,7,0,50,35.439999321475625,34.999999053776264,9.829999782145023,18.469999322667718,9.609999809414148,5.869999825954437,0.11999999731779099,2.1008863,3.3054201794433884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.37616649679438,10.425397209119545]}"
1958,2,0,40,23.819999370723963,6.819999849423766,13.619999615475535,42.599998880177736,5.659999847412109,12.559999756515026,15.329999908804893,2.0973802,4.0002391566150886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.61547768848385,9.756781143149382]}"
1959,2,0,30,42.519998863339424,28.619999321177602,28.349999263882637,35.059999104589224,2.0299999117851257,4.819999888539314,-9999,4.65531,2.508015333431039,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49780296054604,10.417042876977227]}"
1960,4,0,40,22.459999460726976,34.53999945521355,19.829999342560768,32.20999923534691,7.279999848455191,7.829999811947346,3.679999951273203,4.6524954,2.50862282111483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.2508515146597,9.887755511574007]}"
1961,0,0,40,35.35999943315983,2.31999989785254,12.909999657422304,33.89999921992421,3.1499998923391104,2.389999970793724,-9999,3.76031,6.1234866092336855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.1833027795758,9.871585836459857]}"
